,good [%],fair [%],poor [%],severe [%],
Signage:,37.0,0.0,0.0,63.0,
Curb:,81.0,12.0,2.0,5.0,
Decking: ,5.0,19.0,48.0,28.999999999999996,
Steel Superstruture:,100.0,0.0,0.0,0.0,
Bolted connections:,50.0,50.0,0.0,0.0,
Field Welded connections:,68.0,24.0,8.0,0.0,
Beam Corrosion:,0.0,20.0,71.0,10.0,
Paint Effectiveness:,15.0,37.0,44.0,5.0,
Bearing conditions:,80.0,15.0,5.0,0.0,
Footing:,86.0,7.000000000000001,0.0,7.000000000000001,
Stemwall:,69.0,31.0,0.0,0.0,
Deck Backwall:,57.99999999999999,11.0,24.0,8.0,
Gravel Approach Ramps:,36.0,24.0,33.0,7.000000000000001,
Gabions:,33.0,56.00000000000001,6.0,6.0,
Concrete Blocks:,75.0,25.0,0.0,0.0,
Channel protection:,38.0,15.0,20.0,28.000000000000004,
