,good [%],fair [%],poor [%],severe [%],
Signage:,0.0,28.999999999999996,0.0,71.0,
Curb:,62.0,38.0,0.0,0.0,
Decking: ,12.0,38.0,25.0,25.0,
Steel Superstruture:,62.0,38.0,0.0,0.0,
Bolted connections:,100.0,0.0,0.0,0.0,
Field Welded connections:,17.0,33.0,50.0,0.0,
Beam Corrosion:,0.0,14.000000000000002,0.0,86.0,
Paint Effectiveness:,0.0,12.0,12.0,75.0,
Bearing conditions:,83.0,0.0,0.0,17.0,
Footing:,12.0,0.0,25.0,62.0,
Stemwall:,0,0,0,0,
Deck Backwall:,25.0,0.0,25.0,50.0,
Gravel Approach Ramps:,12.0,62.0,12.0,12.0,
Gabions:,0.0,0.0,0.0,100.0,
Concrete Blocks:,0,0,0,0,
Channel protection:,33.0,17.0,33.0,17.0,
