,good,fair,poor,severe,
Signage:,0,0,0,0,
Guide post,19,3,0,26,Alice Bradley 15- Shirley Browning 15- Bradley Hager 15- Cathy Hill 15- Brandon Lovejoy 15- Chuck Adkins 16- Jim and Tasha Alder 16- Michaiel Angel 16- Bill Cart 16- Danny Cook 16- Ruth Cornell 16- Mary Daily 16- Doss Dana 16- Dollie Davis 16- Mary Evelyn Hager 16- Misty Murr 16- Roger + Lavonna Napier 16- Eskel Taylor 16- David Vance 16- Arther Adkins 17- Arnold Hensley 17- Richard Jeffery 17- Donna McCormick 17- Terry Miller 17- Jessica Stone 17- Robert Allen 18- 
"Speed limit, wt limit sign",25,0,0,23,Shirley Browning 15- Bradley Hager 15- Cathy Hill 15- Brandon Lovejoy 15- Chuck Adkins 16- Jim and Tasha Alder 16- Michaiel Angel 16- Bill Cart 16- Danny Cook 16- Ruth Cornell 16- Mary Daily 16- Dollie Davis 16- Mary Evelyn Hager 16- Bishop Muncy 16- Misty Murr 16- Roger + Lavonna Napier 16- Eskel Taylor 16- David Vance 16- Arnold Hensley 17- Jessica Stone 17- Grace Adkins 18- Robert Allen 18- Lola Crews 20- 
reflectors,33,0,0,14,Bradley Hager 15- Cathy Hill 15- Brandon Lovejoy 15- Michaiel Angel 16- Ruth Cornell 16- Mary Daily 16- Doss Dana 16- Holbert Dial 16- Mary Evelyn Hager 16- Roger + Lavonna Napier 16- David Vance 16- Arnold Hensley 17- Terry Miller 17- Ronald Russell 20- 
Curb:,0,0,0,0,
Damage,44,3,1,1,Michaiel Angel 16- 
Curb wood decay,41,7,0,0,
Curb connection,46,1,0,1,David Vance 16- 
Railing /guardrail,2,0,0,0,
Decking: ,0,0,0,0,
Wood Damage,42,3,2,0,
Cleanness of deck,21,16,6,7,Bradley Hager 15- Brandon Lovejoy 15- Bill Cart 16- Bishop Muncy 16- Shelby Kay Thomas 16- Robert Allen 18- David McCall 19- 
Wood internal decay,37,5,0,3,Ruth Cornell 16- Mary Evelyn Hager 16- Robert Adkins 17- 
Fungus ,15,21,7,2,Robert Adkins 17- Roy Sears 19- 
Wood wear surface,45,1,0,0,
Deck clips spacing,39,3,0,1,Robert Adkins 17- 
